# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cpu-clock:pppH'
# Event count (approx.): 1847250000
#
# Overhead  Command        Shared Object      Symbol                           
# ........  .............  .................  .................................
#
     0.03%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85e3f76
     0.03%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb863df05
     0.03%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb863df0e
     0.03%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb864542c
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7c039e9
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7c38fa0
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7c7d530
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7c865cf
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7c87e50
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7c88f46
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7ccb710
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7d0e7dc
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7d0ecc0
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7d0ece0
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7d0ece5
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7d0ecf8
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7d350f0
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7d350f5
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7d3510d
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7d3ba18
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7d80b4f
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7d80b6b
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7e5ec55
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7e5f7cc
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7e5f856
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7e63c90
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7e63cd6
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7e63cea
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7e6da77
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7e8a5c5
